Taxa,Year,FM,FO,Total,Feeds_used,Prod
Carps,1995,10,0,10,1970,4924
Carps,1996,10,0,10,2848,4924
Carps,1997,10,0,10,3797,4924
Carps,1998,10,0,10,4907,4924
Carps,1999,9,0,10,5584,4924
Carps,2000,9,0,10,5316,4924
Carps,2001,8,0,10,5581,4924
Carps,2002,8,0,10,6468,4924
Carps,2003,8,0,10,6917,4924
Carps,2004,8,0,10,6851,4924
Carps,2005,8,0,10,6984,4924
Carps,2006,5,0,10,7382,4924
Carps,2007,5,0,10,7872,4924
Carps,2010,3,0,10,10158,4924
Carps,2015,2,0,10,13501,4924
Carps,2020,1,0,10,16865,4924
Shrimps,1995,28,2,30,1392,928
Shrimps,1996,27,2,30,1376,928
Shrimps,1997,26,2,30,1418,928
Shrimps,1998,26,2,30,1558,928
Shrimps,1999,25,2,30,1709,928
Shrimps,2000,25,2,30,1751,928
Shrimps,2001,25,2,30,2045,928
Shrimps,2002,25,2,30,2174,928
Shrimps,2003,24,2,30,3006,928
Shrimps,2004,24,2,30,3548,928
Shrimps,2005,24,2,30,4005,928
Shrimps,2006,20,2,30,4480,928
Shrimps,2007,18,2,30,4803,928
Shrimps,2010,12,2,30,5268,928
Shrimps,2015,8,1.5,30,6833,928
Shrimps,2020,5,1,30,7631,928
Tilapias,1995,14,1,15,984,703
Tilapias,1996,13,1,15,1150,703
Tilapias,1997,13,1,15,1341,703
Tilapias,1998,12,1,15,1319,703
Tilapias,1999,12,1,15,1552,703
Tilapias,2000,11,1,15,1696,703
Tilapias,2001,11,1,15,1880,703
Tilapias,2002,10,1,15,1953,703
Tilapias,2003,10,1,15,2215,703
Tilapias,2004,9,1,15,2530,703
Tilapias,2005,9,1,15,2852,703
Tilapias,2006,6,0.5,15,3056,703
Tilapias,2007,5,0,15,3493,703
Tilapias,2010,3,0,15,5053,703
Tilapias,2015,2,0,15,9178,703
Tilapias,2020,1,0,15,13397,703
Marine fishes,1995,50,15,65,498,498
Marine fishes,1996,50,15,65,528,498
Marine fishes,1997,50,15,65,685,498
Marine fishes,1998,48,14,65,819,498
Marine fishes,1999,46,12,65,913,498
Marine fishes,2000,44,10,65,1172,498
Marine fishes,2001,42,10,65,1303,498
Marine fishes,2002,41,8,65,1511,498
Marine fishes,2003,40,8,65,1644,498
Marine fishes,2004,39,8,65,1697,498
Marine fishes,2005,36,8,65,1916,498
Marine fishes,2006,32,8,65,2216,498
Marine fishes,2007,30,7,65,2376,498
Marine fishes,2010,24,6,65,2587,498
Marine fishes,2015,16,4,65,3734,498
Marine fishes,2020,8,3,65,4998,498
Salmons,1995,45,25,70,806,537
Salmons,1996,44,25,70,965,537
Salmons,1997,43,25,70,1037,537
Salmons,1998,42,24,70,1105,537
Salmons,1999,41,24,70,1274,537
Salmons,2000,40,23,70,1332,537
Salmons,2001,39,23,70,1566,537
Salmons,2002,38,22,70,1591,537
Salmons,2003,37,22,70,1665,537
Salmons,2004,36,21,70,1794,537
Salmons,2005,35,21,70,1824,537
Salmons,2006,30,20,70,1912,537
Salmons,2007,24,16,70,1985,537
Salmons,2010,18,12,70,2109,537
Salmons,2015,12,8,70,3969,537
Salmons,2020,8,6,70,5832,537
Trouts,1995,40,20,60,588,392
Trouts,1996,38,20,60,632,392
Trouts,1997,38,18,60,662,392
Trouts,1998,37,18,60,687,392
Trouts,1999,37,17,60,665,392
Trouts,2000,36,17,60,660,392
Trouts,2001,36,17,60,734,392
Trouts,2002,35,16,60,728,392
Trouts,2003,35,16,60,734,392
Trouts,2004,34,16,60,744,392
Trouts,2005,34,16,60,736,392
Trouts,2006,30,15,60,793,392
Trouts,2007,24,12,60,867,392
Trouts,2010,18,8,60,978,392
Trouts,2015,12,6,60,1439,392
Trouts,2020,8,4,60,1925,392
Catfishes,1995,5,1,6,587,345
Catfishes,1996,4,1,6,673,345
Catfishes,1997,3,1,6,810,345
Catfishes,1998,5,1,6,729,345
Catfishes,1999,7,1,6,831,345
Catfishes,2000,8,1,6,772,345
Catfishes,2001,8,1.2,6,794,345
Catfishes,2002,10,1.4,6,873,345
Catfishes,2003,10,1.4,6,1318,345
Catfishes,2004,12,1.5,6,1523,345
Catfishes,2005,12,1.5,6,152,345
Catfishes,2006,10,1.7,6,1908,345
Catfishes,2007,8,1.7,6,2446,345
Catfishes,2010,6,1.6,6,3509,345
Catfishes,2015,3,1.4,6,5515,345
Catfishes,2020,2,1,6,7024,345
FW fishes,1995,55,8,63,11,107
FW fishes,1996,50,8,63,16,107
FW fishes,1997,50,8,63,20,107
FW fishes,1998,50,6,63,37,107
FW fishes,1999,50,6,63,44,107
FW fishes,2000,50,6,63,57,107
FW fishes,2001,45,6,63,58,107
FW fishes,2002,45,5,63,81,107
FW fishes,2003,45,5,63,269,107
FW fishes,2004,45,5,63,341,107
FW fishes,2005,45,5,63,426,107
FW fishes,2006,40,5,63,512,107
FW fishes,2007,40,5,63,639,107
FW fishes,2010,35,4,63,996,107
FW fishes,2015,25,3,63,1937,107
FW fishes,2020,15,2,63,3061,107
Eels,1995,65,8,73,338,188
Eels,1996,65,8,73,400,188
Eels,1997,64,8,73,400,188
Eels,1998,63,6,73,370,188
Eels,1999,63,6,73,359,188
Eels,2000,62,6,73,351,188
Eels,2001,62,6,73,329,188
Eels,2002,61,5,73,332,188
Eels,2003,61,5,73,332,188
Eels,2004,60,5,73,337,188
Eels,2005,60,5,73,327,188
Eels,2006,55,5,73,363,188
Eels,2007,50,5,73,415,188
Eels,2010,45,4,73,416,188
Eels,2015,35,3,73,351,188
Eels,2020,25,2,73,354,188
Milkfish,1995,15,3,18,220,366
Milkfish,1996,14,3,18,223,366
Milkfish,1997,13,3,18,223,366
Milkfish,1998,12,2,18,243,366
Milkfish,1999,11,2,18,292,366
Milkfish,2000,10,2,18,318,366
Milkfish,2001,9,1,18,347,366
Milkfish,2002,8,1,18,380,366
Milkfish,2003,7,1,18,480,366
Milkfish,2004,6,1,18,436,366
Milkfish,2005,5,1,18,464,366
Milkfish,2006,3,1,18,468,366
Milkfish,2007,3,1,18,547,366
Milkfish,2010,3,1,18,728,366
Milkfish,2015,2,1,18,1069,366
Milkfish,2020,2,1,18,1399,366
FW crustaceans,1995,25,2,27,91,104
FW crustaceans,1996,25,2,27,131,104
FW crustaceans,1997,24,2,27,179,104
FW crustaceans,1998,24,2,27,218,104
FW crustaceans,1999,23,2,27,284,104
FW crustaceans,2000,23,2,27,412,104
FW crustaceans,2001,22,2,27,513,104
FW crustaceans,2002,22,2,27,557,104
FW crustaceans,2003,21,2,27,776,104
FW crustaceans,2004,21,2,27,819,104
FW crustaceans,2005,20,1.5,27,905,104
FW crustaceans,2006,15,1.5,27,922,104
FW crustaceans,2007,14,1.5,27,1255,104
FW crustaceans,2010,13,1.5,27,1692,104
FW crustaceans,2015,10,1,27,2210,104
FW crustaceans,2020,5,0.5,27,2915,104
